game_time,match_id_hash,teamfights_number,objectives_number,chat_number,game_mode,lobby_type,players_number,targets_number
155,a400b8f29dece5f4d266f49f1ae2e98a,0,1,11,22,7,10,5
658,b9c57c450ce74a2af79c9ce96fac144d,2,3,10,4,0,10,5
21,6db558535151ea18ca70a6892197db41,0,0,0,23,0,10,5
576,46a0ddce8f7ed2a8d9bd5edcbb925682,0,1,4,22,7,10,5
453,b1b35ff97723d9b7ade1c9c3cf48f770,0,1,3,22,7,10,5
160,19c39fe2af2b547e48708ca005c6ae74,0,0,0,22,7,10,5
1016,c96d629dc0c39f0c616d1949938a6ba6,2,1,0,22,0,10,5
582,156c88bff4e9c4668b0f53df3d870f1b,1,2,2,22,7,10,5
636,df50f738c454d430a33b2bf90cb9ef1a,0,1,5,22,7,10,5
1054,7469e9440ea3d19b211a484647c7126e,3,8,5,22,0,10,5
1797,0aa1c6d7630433a93fe42da5ac810368,6,9,2,22,7,10,5
605,892b5d40992e4b334e159f99b2bb55e6,0,0,5,22,7,10,5
1514,44eb0c077ca68678bb9bfead29e9c455,7,6,3,22,7,10,5
852,eda82a5a0ae96848e73929c643925633,3,2,1,4,0,10,5
721,ab3cc6ccac661a1385e73a2e9f21313a,1,2,1,4,0,10,5
11,a3c3892648b873bb869dd81ca0f62286,0,0,11,22,0,10,5
1362,34c81a8faede0d8f1f87dcc6ee824658,4,6,4,4,0,10,5
2388,5feece770ca79e5e8cd8052198b3f533,14,16,10,4,0,10,5
752,54aaab1cb8cc5df3c253641618673266,1,1,0,22,7,10,5
2302,c95069179039952da9db7635ee22972b,8,16,14,22,7,10,5
2043,8f56cc2468ba5c37edb79f3a7b4af6e6,4,15,49,22,0,10,5
730,171d8515f371cdf5d03c44575cee70c7,0,1,4,22,7,10,5
840,44cdded6d3311134563f743eb77685b2,1,2,27,22,7,10,5
1955,086e5ed8fee6258a3b6ed9127f833573,11,15,3,4,0,10,5
342,b6f39b49177535c9417eecd8c696674d,0,1,0,22,7,10,5
154,8ca9e390d39160645953a682a8d6f225,0,1,0,22,7,10,5
1249,4b6e4e511d399180776d0f23984466b2,5,5,4,22,7,10,5
907,fb4860c8425b62dbe413214beb6650c8,2,3,16,22,7,10,5
655,06b147af8683a7973e6f431c412448b7,0,1,11,22,7,10,5
1465,7d30c0cc9a54fbf92d3fcddcab73d794,2,5,0,22,7,10,5
1654,64ed11373bcf2cfea7a60ede637b70d2,6,8,0,22,7,10,5
908,95a57e13d66411aa89e23c2dafa116dd,2,2,0,22,7,10,5
2991,00a7f372afae35b59ce3819155d95318,16,26,14,22,7,10,5
1079,bf366db368cc34b63235973dd3f50b0b,6,4,4,22,7,10,5
79,70e55187a655b6daacbf58a832d662db,0,1,0,22,7,10,5
983,a26ea6c7d63eb1df557dbcae742b4705,3,2,3,22,0,10,5
736,88f9976aa7627b1f0d3e60d4b0483956,2,1,10,22,7,10,5
783,466e3043a03c98361c311c58d0ecbbf1,3,4,1,22,7,10,5
1460,52691d68dd7b50eddb3092220d4aabb9,3,4,20,22,7,10,5
51,73669c2af74776b891fb94a1d1099d25,0,1,0,3,7,10,5
293,fa72fbcde4aaf1023c3df5dc7d739674,0,1,5,22,7,10,5
876,7174c98d3b2e4ac2b9f5947935cbdd52,0,2,0,4,0,10,5
19,3c666e1759bfab4467d11010983fb13e,0,0,0,22,7,10,5
843,4a0fdc67b9a1e360dae065ff12fade95,1,3,18,22,7,10,5
33,ba1e963ea091e6af635dedd4ad2e9bbd,0,1,2,22,7,10,5
945,86d60b73cbfdbf0a6c291dad12d967f0,10,7,2,23,0,10,5
947,de41039149b7635840f90fc302548eb5,7,2,5,22,7,10,5
897,28497cb3f04d45a272e8b7ed9c7199bd,1,6,4,22,7,10,5
379,bb72d40b170659cafee461fe458b5331,0,1,20,22,7,10,5
1491,5b26efd8f4573da98d7a53e6eb3bfcde,8,9,5,22,7,10,5
464,9360b6c02ab8b2c1ffc719423c1ebdb0,0,1,0,3,7,10,5
353,512c0d7cf0312c0767603dd77dc42581,1,1,12,22,7,10,5
593,7849266871db9c0605bd33872a7643fa,1,2,2,22,0,10,5
1925,fb5c712c74f8317689e7082416b90b77,8,7,4,4,0,10,5
2750,185cbad860e2632dc088d756e3e61a1a,9,16,30,22,7,10,5
2576,2c6ea5bc1788fd5efc72fb741bb4f3b6,9,22,10,22,7,10,5
105,9d59ca0a4cb2514d10f5932fc2007bd1,0,1,0,22,7,10,5
1473,2f07b1315b85521f9641dc4dfb72b4a0,3,4,0,22,7,10,5
483,dc777a69b5457e32f635827d5994ac20,0,1,4,22,7,10,5
429,e4bae80d0f728c1198c57c6e9de948a2,2,1,6,22,7,10,5
1925,6d8926b8ad2843de397b6ef560b53466,5,19,7,22,7,10,5
68,5c4cd7ba5f0b31ded435690a2a596981,0,0,0,22,7,10,5
2130,ee0df626563ce0e39d5cd039caf141ac,6,16,1,22,7,10,5
561,192f19f03feda5decffa47a9fbc6ba63,3,5,2,23,0,10,5
783,9a4de866c4e057ba4cbf1c2d79210e41,1,2,0,22,7,10,5
1570,f0cfe3b5e56e8b2f0865dfb4be2ba23f,2,8,3,22,7,10,5
1214,fc817a3b4a4cf8269fa295c786c0b9fa,0,6,8,22,7,10,5
1783,99f889e363118fc49c6c632aad683f18,4,7,1,22,7,10,5
213,9be7e4163e437ce3950b8d42b0c68756,0,1,0,22,7,10,5
2679,981a0ab91d4648f75ed78f4173e8d201,13,25,6,22,7,10,5
472,c59f3f76dfc3a02b77f3d2814d9b4122,0,1,3,22,7,10,5
972,378200e56bbb733394b45a902c0bd01a,3,10,1,23,0,10,5
1331,a0d7a946c3e51ddc96ddb2c9348f3871,6,6,6,22,7,10,5
1881,67bdabee790d3cf4dc8663d1831beb53,6,12,1,22,7,10,5
986,f3398a77b495428fc23e7621af06a027,4,4,9,22,7,10,5
601,175ef2d5732f4526a08fd7352dabc27f,2,1,0,22,7,10,5
1739,425871da01ddd66e3831fb690089b889,6,6,15,22,0,10,5
48,a7808f7dc01a959e29c4946cc98e775a,0,1,0,22,7,10,5
2107,5b6190e89e6947e064c1fd426213f8a0,4,15,29,22,7,10,5
2524,85519e14c42ea6a02d2d8c73a63d6b66,15,13,3,22,7,10,5
1954,c43bb03dd85deb8bd927921bf8598a36,7,10,0,3,0,10,5
803,99386fd5fa5cfe926fc4344da562b1d4,4,4,2,22,7,10,5
2718,0c189819d5bf45f817f77693f941371c,7,27,3,4,0,10,5
54,5673bf13c6ecc771fb56ba93789c71cd,0,0,1,22,0,10,5
866,2392185f7a1b6fc35f761d2dc34423c8,2,2,0,22,0,10,5
898,4cbe5e5a1a2c1389d549d04e2e018a9f,1,1,0,22,0,10,5
1626,064522c97acf0d4b095d038c663374aa,7,6,0,22,7,10,5
349,1cfa44f46b5cc24d38723894ff4577ba,0,5,50,23,0,10,5
272,6f11117db84c0585ad2e792aeae191e9,0,1,1,22,7,10,5
1037,722d71f25c1d1fa1124580d3a78e458f,4,14,12,22,7,10,5
1297,db13e824e8c7f64cd6cdd783437d1b5c,2,8,9,22,7,10,5
1427,05c46e17555a38bf054bdc9d207f1cf7,1,12,10,22,0,10,5
369,1e4c98abfc97681f46916e92502ac2b4,0,1,2,22,7,10,5
595,7260c8e6db4177850c02fb9825095f5c,2,1,1,22,7,10,5
230,538af79dd08dc1e6e278c3709bc5a665,0,1,1,22,7,10,5
2443,66a8e40f604d9735d4127d66a46e1b2a,7,18,4,22,7,10,5
2128,f864a881742e71db5311fbf0bdc7af91,9,7,0,22,0,10,5
578,66bc5c7f6f510ff44060240f01e94365,1,1,0,4,0,10,5
779,83097723ca023da3b686e71bca02af03,0,4,0,22,0,10,5
408,79a0d4fe6ea6e1de856aa20539d5613d,1,1,8,22,7,10,5
